ID,recommendedProjects
12094,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12095,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12096,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12097,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12098,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12099,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12100,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12101,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12102,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12103,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12104,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12105,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12106,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12107,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12108,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12109,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12110,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12111,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12112,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12113,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12114,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12115,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12116,140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442
12117,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12118,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12119,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12120,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12121,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12122,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12123,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12124,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12125,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12126,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12127,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12128,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12129,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12130,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12131,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12132,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12133,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12134,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12135,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12136,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12137,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12138,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12139,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12140,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12141,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12142,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12143,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12144,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12145,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12146,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12147,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12148,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12149,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12150,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12151,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12152,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12153,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12154,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12155,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12156,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12157,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12158,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12159,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12160,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12161,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12162,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12163,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12164,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12165,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12166,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12167,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12168,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12169,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12170,140|134|3|360|130|437|118|441|128|442|140|134|3|360|130|437|118|441|128|442|140|134|3|360|130|437|118|441|128|442|140|134|3|360|130|437|118|441|128|442
12171,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12172,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12173,140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442
12174,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12175,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12176,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12177,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12178,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12179,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12180,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12181,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12182,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12183,140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442
12184,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12185,140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442
12186,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12187,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12188,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12189,140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442
12190,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12191,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12192,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12193,140|134|3|360|130|118|414|441|128|442|140|134|3|360|130|118|414|441|128|442|140|134|3|360|130|118|414|441|128|442|140|134|3|360|130|118|414|441|128|442
12194,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12195,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12196,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12197,140|134|3|360|130|437|118|414|128|442|140|134|3|360|130|437|118|414|128|442|140|134|3|360|130|437|118|414|128|442|140|134|3|360|130|437|118|414|128|442
12198,140|134|3|360|130|437|118|414|441|128|140|134|3|360|130|437|118|414|441|128|140|134|3|360|130|437|118|414|441|128|140|134|3|360|130|437|118|414|441|128
12199,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12200,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12201,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12202,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12203,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12204,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12205,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12206,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12207,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12208,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12209,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12210,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12211,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12212,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12213,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12214,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12215,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12216,140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442|140|134|3|130|437|118|414|441|128|442
12217,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12218,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12219,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12220,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12221,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12222,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12223,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
